config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash12R00_05	50.0000	50.0000	0.002000	0.002000	0.3220	0.3284	3.13000	6.58591e-07	100000.000	3.06414
foilsflash12R00_06	69.3538	172.4887	0.002000	0.096321	0.7413	0.7751	3.10000	6.22290e-07	100000.000	3.03777
foilsflash12R00_01	57.6862	114.9249	0.002000	0.123390	0.0000	0.4124	3.66000	7.14777e-07	100000.000	3.58852
foilsflash12R00_00	73.6438	113.2774	0.002000	0.153940	0.0000	0.2849	3.72000	8.30190e-07	100000.000	3.63698
foilsflash12R00_03	69.1286	250.0000	0.501547	0.685305	0.9500	0.8290	2.19000	6.53706e-07	100000.000	2.12463
foilsflash12R00_07	50.9110	126.4504	0.002000	0.134313	0.8910	0.7093	3.40000	6.36606e-07	100000.000	3.33634
foilsflash12R00_02	50.0000	250.0000	0.404138	0.228049	0.9500	0.8702	2.86000	6.48905e-07	100000.000	2.79511
foilsflash12R00_04	50.0000	224.9883	0.002000	0.002000	0.9500	0.0000	3.17000	6.49617e-07	100000.000	3.10504
foilsflash12R00_08	50.0000	100.6004	0.002000	0.136517	0.8732	0.6417	3.51000	6.97310e-07	100000.000	3.44027
foilsflash12R00_09	166.1964	143.8806	0.002000	0.102027	0.9500	0.4316	3.52000	6.57774e-07	100000.000	3.45422
foilsflash13R00_03	204.5176	119.4141	0.078537	0.152194	0.6526	0.0260	3.62000	9.85248e-07	100000.000	3.52148
foilsflash13R00_00	154.3518	116.2862	0.020427	0.146317	0.5298	0.1077	3.79000	9.34864e-07	100000.000	3.69651
foilsflash13R00_07	113.2505	95.0721	0.026027	0.190228	0.7055	0.0587	3.76000	1.07376e-06	100000.000	3.65262
foilsflash13R00_01	128.5237	121.4718	0.128076	0.127596	0.2821	0.1185	3.73000	9.79800e-07	100000.000	3.63202
foilsflash13R00_08	95.1768	127.3109	0.009496	0.205136	0.3994	0.1140	3.73000	1.00947e-06	100000.000	3.62905
foilsflash13R00_02	117.9893	111.9068	0.017057	0.144099	0.1988	0.2641	3.80000	8.97019e-07	100000.000	3.71030
foilsflash13R00_04	142.1024	110.5884	0.025686	0.108962	0.7669	0.0701	3.76000	9.47479e-07	100000.000	3.66525
foilsflash13R00_05	78.7871	118.3437	0.217619	0.141213	0.4049	0.0219	3.63000	1.15408e-06	100000.000	3.51459
foilsflash13R00_06	166.3719	101.7055	0.138422	0.120362	0.0460	0.0594	3.48000	1.05935e-06	100000.000	3.37406
foilsflash13R00_09	182.2988	110.9240	0.058218	0.239463	0.0742	0.0355	3.69000	1.14952e-06	100000.000	3.57505
foilsflash14R00_05	142.1024	110.5884	0.025686	0.108962	0.7669	0.0701	3.76000	9.42991e-07	100000.000	3.66570
foilsflash14R00_01	154.3518	116.2862	0.020427	0.146317	0.5298	0.1077	3.79000	9.34864e-07	100000.000	3.69651
foilsflash14R00_00	117.9893	111.9068	0.017057	0.144099	0.1988	0.2641	3.81000	8.97019e-07	100000.000	3.72030
foilsflash14R00_03	153.4942	129.5059	0.010098	0.114634	0.2486	0.2152	3.76000	8.26905e-07	100000.000	3.67731
foilsflash14R00_02	95.1768	127.3109	0.009496	0.205136	0.3994	0.1140	3.71000	1.00947e-06	100000.000	3.60905
foilsflash14R00_06	206.4923	108.3889	0.025095	0.203026	0.8608	0.1991	3.70000	9.76383e-07	100000.000	3.60236
foilsflash14R00_04	113.2505	95.0721	0.026027	0.190228	0.7055	0.0587	3.76000	1.07386e-06	100000.000	3.65261
foilsflash14R00_07	140.6705	147.3183	0.004844	0.136730	0.0095	0.2007	3.66000	8.09309e-07	100000.000	3.57907
foilsflash14R00_08	128.5237	121.4718	0.128076	0.127596	0.2821	0.1185	3.74000	9.79800e-07	100000.000	3.64202
foilsflash14R00_09	53.8889	114.7603	0.033211	0.252389	0.1453	0.0619	3.71000	1.19564e-06	100000.000	3.59044
foilsflash14R01_03	66.6862	110.9845	0.092829	0.118042	0.1562	0.2001	3.83000	9.32258e-07	100000.000	3.73677
foilsflash14R01_04	66.0209	125.2389	0.077010	0.228342	0.5155	0.0562	3.72000	1.16436e-06	100000.000	3.60356
foilsflash14R01_01	98.6819	141.9766	0.097408	0.149285	0.3119	0.1055	3.79000	9.69781e-07	100000.000	3.69302
foilsflash14R01_07	109.4771	104.4804	0.134551	0.162822	0.5997	0.0531	3.84000	1.01970e-06	100000.000	3.73803
foilsflash14R01_02	166.1129	106.6572	0.087076	0.188483	0.0504	0.0457	3.71000	1.15651e-06	100000.000	3.59435
foilsflash14R01_00	120.8765	118.2112	0.054782	0.139204	0.2521	0.3064	3.84000	8.14103e-07	100000.000	3.75859
foilsflash14R01_05	197.6324	118.1635	0.021791	0.124107	0.8976	0.2739	3.69000	7.77933e-07	100000.000	3.61221
foilsflash14R01_06	139.8597	130.2397	0.100345	0.206624	0.1167	0.1702	3.66000	1.01597e-06	100000.000	3.55840
foilsflash14R01_09	117.9827	100.7546	0.005653	0.121100	0.0208	0.1778	3.76000	9.25943e-07	100000.000	3.66741
foilsflash14R01_08	88.5562	131.4844	0.058914	0.217209	0.1816	0.2071	3.73000	9.54986e-07	100000.000	3.63450
foilsflash16R00_01	250.0000	96.5837	0.627436	0.266387	0.5980	0.9500	2.72000	6.86768e-07	100000.000	2.65132
foilsflash16R00_03	94.6771	114.7165	0.654911	0.321660	0.9500	0.9500	3.20000	6.11729e-07	100000.000	3.13883
foilsflash16R00_00	50.0000	93.5402	0.195175	0.200841	0.9500	0.1874	3.69000	1.03182e-06	100000.000	3.58682
foilsflash16R00_02	50.0000	116.9934	0.086310	0.147756	0.3053	0.1125	3.83000	1.00701e-06	100000.000	3.72930
foilsflash16R00_04	122.8952	129.4367	0.002000	0.024157	0.2038	0.5576	3.31000	6.62520e-07	100000.000	3.24375
foilsflash16R03_00	51.3612	245.7671	0.002000	0.101233	0.4833	0.7131	2.92000	6.27496e-07	100000.000	2.85725
foilsflash16R01_00	62.3580	126.6704	0.062285	0.125352	0.3053	0.3887	3.75000	7.55180e-07	100000.000	3.67448
foilsflash16R02_00	50.0000	87.2148	0.789730	0.744887	0.9500	0.9500	3.18000	6.68413e-07	100000.000	3.11316
foilsflash16R05_00	50.0000	157.7552	0.471035	0.390111	0.9500	0.9500	3.02000	6.86194e-07	100000.000	2.95138
foilsflash16R04_00	50.0000	172.9530	0.479035	1.000000	0.9500	0.9500	2.84000	6.70847e-07	100000.000	2.77292
foilsflash17R00_00	50.0000	250.0000	0.259160	1.000000	0.9500	0.6752	1.69000	6.58499e-07	100000.000	1.62415
foilsflash17R00_01	50.0000	250.0000	0.002000	1.000000	0.0000	0.0000	1.65000	1.86400e-06	100000.000	1.46360
foilsflash17R00_02	50.0000	176.4605	0.821016	0.229668	0.9500	0.7501	2.87000	6.39374e-07	100000.000	2.80606
foilsflash17R00_03	66.3134	150.9969	0.404485	0.125442	0.9500	0.7014	3.25000	6.36133e-07	100000.000	3.18639
foilsflash17R00_04	50.0000	126.0641	0.783044	0.267686	0.9500	0.7429	3.30000	6.57801e-07	100000.000	3.23422
foilsflash17R01_00	63.0645	118.0856	0.002000	0.168983	0.2274	0.1368	3.77000	9.50879e-07	100000.000	3.67491
foilsflash17R01_01	76.6656	118.5933	0.002000	0.131759	0.2374	0.5006	3.60000	7.04404e-07	100000.000	3.52956
foilsflash17R02_00	146.2335	112.6899	1.000000	0.819540	0.9500	0.7272	2.92000	6.96193e-07	100000.000	2.85038
foilsflash17R03_00	50.0000	133.6128	0.658088	0.801899	0.9500	0.7479	2.83000	6.63739e-07	100000.000	2.76363
