config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	sob	flash_edep	alpha	obj
foilspfbpx01R03_00	30.0000	141.4516	123.9902	0.010000	0.084293	0.106243	0.0000	0.0000	0.9500	3.76000	8.19156e-07	100000.000	3.67808
foilspfbpx01R05_01	150.0000	107.5383	150.0000	0.054264	0.079584	0.010000	0.7120	0.9500	0.9500	0.75800	8.12581e-08	100000.000	0.74987
foilspfbpx01R05_00	150.0000	79.5151	150.0000	0.087561	0.133657	0.010000	0.7067	0.8905	0.9500	1.78000	1.17237e-07	100000.000	1.76828
foilspfbpx01R07_00	30.0000	135.0063	100.7915	0.030088	0.076766	0.134031	0.2010	0.0000	0.0000	4.14000	1.27540e-06	100000.000	4.01246
foilspfbpx01R04_00	141.7400	85.2456	134.1495	0.092203	0.150000	0.028572	0.3502	0.8009	0.9023	2.87000	2.37595e-07	100000.000	2.84624
foilspfbpx01R09_00	150.0000	123.0761	128.5235	0.150000	0.077395	0.045039	0.5914	0.9500	0.9500	0.96400	9.81466e-08	100000.000	0.95419
foilspfbpx01R10_00	150.0000	139.9383	78.2793	0.150000	0.075208	0.026759	0.0000	0.6139	0.7833	2.82000	4.63435e-07	100000.000	2.77366
foilspfbpx01R12_00	150.0000	86.4798	145.8871	0.010000	0.100233	0.027856	0.0000	0.0000	0.1703	4.22000	1.13383e-06	100000.000	4.10662
foilspfbpx01R06_00	30.0000	150.0000	91.3079	0.011179	0.036556	0.150000	0.1114	0.4534	0.0000	3.83000	8.37739e-07	100000.000	3.74623
foilspfbpx01R09_01	120.5657	119.1272	73.7912	0.131101	0.088052	0.010000	0.5309	0.9489	0.9500	1.50000	1.09157e-07	100000.000	1.48908
foilspfbpx01R08_00	143.4721	85.9295	105.6118	0.064145	0.150000	0.010000	0.8479	0.9295	0.9500	1.26000	9.26526e-08	100000.000	1.25073
foilspfbpx01R08_01	30.0000	100.7493	149.8985	0.010000	0.039654	0.150000	0.4430	0.2515	0.0170	4.06000	1.03595e-06	100000.000	3.95640
foilspfbpx01R11_01	30.0000	127.7567	116.0053	0.148531	0.053252	0.100158	0.6485	0.0000	0.0000	4.22000	1.11120e-06	100000.000	4.10888
foilspfbpx01R11_00	30.0000	111.9033	109.2277	0.010000	0.073634	0.119919	0.4066	0.0000	0.3586	4.31000	1.10379e-06	100000.000	4.19962
