config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_rIn_up	extra_rIn_dn	sob	calo	alpha	obj
foilsf16R00_00	250.0000	250.0000	0.047415	0.413879	6.7493	0.0000	2.49000	7.94388e-06	100000.000	1.69561
foilsf16R00_05	250.0000	199.6013	1.000000	0.701802	0.0000	50.0000	0.69600	1.27126e-06	100000.000	0.56887
foilsf16R00_04	235.2597	250.0000	0.010000	0.299897	10.7368	0.0000	2.77000	1.12166e-05	100000.000	1.64834
foilsf16R00_07	111.8506	170.1004	0.010000	0.010000	26.9719	9.5757	3.36000	2.34914e-05	100000.000	1.01086
foilsf16R00_08	250.0000	250.0000	1.000000	0.669579	10.5055	19.9650	0.64800	9.26020e-07	100000.000	0.55540
foilsf16R00_09	250.0000	250.0000	0.443861	0.535288	27.9172	50.0000	1.47000	2.48976e-06	100000.000	1.22102
foilsf16R00_06	250.0000	250.0000	0.281646	0.587776	35.8824	0.0000	1.77000	2.74670e-06	100000.000	1.49533
foilsf16R01_00	120.6250	91.1854	0.045075	0.239528	50.0000	1.2980	3.76000	2.05146e-05	100000.000	1.70854
foilsf16R01_02	168.4075	115.8136	0.164563	0.338129	50.0000	0.0000	3.34000	1.34335e-05	100000.000	1.99665
foilsf16R01_03	224.5672	250.0000	0.246071	0.448898	50.0000	0.0000	2.12000	4.39690e-06	100000.000	1.68031
foilsf16R01_01	197.8341	250.0000	0.197287	0.338975	50.0000	0.0000	2.46000	6.68482e-06	100000.000	1.79152
foilsf16R01_06	250.0000	250.0000	0.010000	1.000000	50.0000	0.0000	1.66000	4.82712e-06	100000.000	1.17729
foilsf16R01_04	250.0000	250.0000	1.000000	1.000000	50.0000	0.0000	0.77100	9.95626e-07	100000.000	0.67144
foilsf16R01_08	244.6691	250.0000	0.432455	1.000000	50.0000	0.0000	1.24000	1.76478e-06	100000.000	1.06352
foilsf16R01_05	204.2781	157.9711	0.190408	0.416719	50.0000	0.0000	2.82000	9.33450e-06	100000.000	1.88655
foilsf16R01_09	236.1567	178.6250	0.217751	0.419159	50.0000	0.0000	2.55000	7.13644e-06	100000.000	1.83636
foilsf16R01_07	114.2375	93.9436	0.031176	0.156642	50.0000	43.0072	3.71000	2.24260e-05	100000.000	1.46740
