config	r0	r1	r2	t0	t1	t2	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt6d13R03_06	3.2310	3.7794	2.8181	8.0000	7.7457	7.7082	2.267391e-03	4.889871e+02	1.890039e-09	33	2.267391e-03
pt6d13R03_07	4.5000	4.5000	2.5510	5.3074	8.0000	3.3321	2.339459e-03	4.937185e+02	2.024332e-09	33	2.339459e-03
pt6d13R03_09	4.2332	2.8702	3.3075	5.6001	7.1198	4.7824	2.254348e-03	4.249748e+02	1.873520e-09	26	2.254348e-03
pt6d13R03_01	4.5000	2.0000	2.0000	7.0224	6.9435	4.5690	2.156044e-03	3.824456e+02	4.475015e-09	27	2.156044e-03
pt6d13R03_08	4.4253	2.2742	2.0000	6.5638	6.7091	5.1340	2.139891e-03	3.880626e+02	3.830096e-09	29	2.139891e-03
pt6d14R00_01	3.2240	3.6581	4.1417	8.0000	7.2465	7.9965	2.188889e-03	4.906239e+02	1.105811e-09	30	2.188889e-03
pt6d14R00_02	4.2092	3.8217	2.5716	8.0000	7.3474	8.0000	2.328889e-03	4.892016e+02	2.206713e-09	33	2.328889e-03
pt6d14R00_03	3.0226	4.0442	2.0000	8.0000	7.5142	6.1062	2.282873e-03	4.793075e+02	3.265950e-09	34	2.282873e-03
pt6d14R00_05	3.8544	4.0151	3.2376	7.9174	8.0000	4.5266	2.338122e-03	4.984396e+02	1.459611e-09	32	2.338122e-03
pt6d14R00_07	3.0949	4.3451	3.4927	8.0000	6.9959	7.9011	2.268132e-03	5.020234e+02	1.304673e-09	33	2.268132e-03
pt6d14R00_06	4.5000	4.4142	2.7591	7.5920	7.1908	8.0000	2.246154e-03	5.106474e+02	1.920711e-09	34	2.246154e-03
pt6d14R00_09	3.8858	3.6831	2.2693	4.9234	7.8961	6.2879	2.386813e-03	4.653660e+02	2.641912e-09	33	2.386813e-03
pt6d14R00_08	3.3086	3.7185	3.8676	7.9726	7.6488	7.3741	2.263043e-03	4.940168e+02	1.181999e-09	31	2.263043e-03
pt6d14R01_02	4.5000	3.0190	3.4776	3.0000	7.0577	3.0000	2.251934e-03	4.009365e+02	1.766191e-09	25	2.251934e-03
pt6d14R01_01	4.4226	2.8635	2.4242	6.7040	7.7965	6.2878	2.275556e-03	4.427699e+02	2.624047e-09	31	2.275556e-03
pt6d14R01_03	4.5000	2.0557	3.2895	5.0672	7.7658	5.9459	2.112088e-03	4.036630e+02	2.836440e-09	24	2.112088e-03
pt6d14R01_04	4.2362	4.5000	2.4742	5.7842	7.6234	7.8642	2.266667e-03	5.059286e+02	2.300116e-09	34	2.266667e-03
pt6d14R01_07	3.5559	2.5448	2.3059	8.0000	6.7244	5.5228	2.181421e-03	4.048478e+02	2.836990e-09	30	2.181421e-03
pt6d14R01_09	2.6509	3.6488	2.0589	7.4333	7.2379	6.3082	2.357778e-03	4.535155e+02	3.104245e-09	34	2.357778e-03
pt6d14R02_00	4.5000	4.1757	4.5000	5.0939	7.8279	4.3634	2.276243e-03	4.944125e+02	9.754132e-10	27	2.276243e-03
pt6d14R02_01	4.4112	3.5045	2.2059	6.6634	8.0000	8.0000	2.246154e-03	4.773373e+02	2.854421e-09	33	2.246154e-03
pt6d14R02_04	2.8999	2.8746	3.0443	7.8186	7.3448	8.0000	2.388889e-03	4.435103e+02	1.830055e-09	30	2.388889e-03
pt6d14R02_02	2.9198	3.1423	3.3847	8.0000	7.7781	4.9678	2.353333e-03	4.518378e+02	1.538512e-09	28	2.353333e-03
pt6d14R02_05	2.8811	3.8273	2.7980	6.1859	7.7330	3.3486	2.206593e-03	4.577678e+02	1.767015e-09	33	2.206593e-03
pt6d14R02_06	4.5000	3.5623	2.0000	8.0000	8.0000	7.7810	2.356044e-03	4.844363e+02	3.271485e-09	34	2.356044e-03
pt6d14R02_07	4.1200	2.1575	3.5317	7.2545	7.4292	3.0000	2.174586e-03	3.998312e+02	2.750478e-09	22	2.174586e-03
