config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsf01R04_05	250.0000	66.4516	0.457922	1.000000	0.0860	0.3235	1.71000	5.53447e-06	100000.000	1.15655
foilsf01R04_03	250.0000	250.0000	0.737797	0.476553	0.0860	0.0860	1.03000	1.23321e-06	100000.000	0.90668
foilsf01R04_02	250.0000	250.0000	0.564178	1.000000	0.0860	0.0860	0.97600	1.31651e-06	100000.000	0.84435
foilsf01R04_08	211.8478	182.3653	0.170407	0.248775	0.1015	0.1179	2.85000	9.47272e-06	100000.000	1.90273
foilsf01R04_04	250.0000	126.0854	0.480304	1.000000	0.0860	0.1705	1.53000	4.12354e-06	100000.000	1.11765
foilsf01R04_09	250.0000	140.0491	0.570012	1.000000	0.0860	0.1535	1.31000	3.11873e-06	100000.000	0.99813
foilsf01R04_07	141.7674	141.3035	0.130291	0.196766	0.1517	0.1522	3.54000	1.50023e-05	100000.000	2.03977
foilsf01R04_06	250.0000	231.4982	0.050000	0.355282	0.0860	0.0929	2.68000	9.68582e-06	100000.000	1.71142
foilsf02R00_00	131.3758	150.7043	0.184260	0.228137	0.1637	0.1427	3.30000	1.40930e-05	100000.000	1.89070
foilsf02R00_03	118.5407	119.5287	0.050000	0.109321	0.1814	0.1799	3.88000	2.15691e-05	100000.000	1.72309
foilsf02R00_05	132.6672	132.2335	0.050000	0.187893	0.1621	0.1626	3.78000	1.88776e-05	100000.000	1.89224
foilsf02R00_02	50.0000	250.0000	0.050000	1.000000	0.4300	0.0860	1.69000	5.27244e-06	100000.000	1.16276
foilsf02R00_07	250.0000	250.0000	0.481453	0.639940	0.0860	0.0860	1.31000	1.85434e-06	100000.000	1.12457
foilsf02R00_04	118.8871	134.4805	0.107406	0.182202	0.1808	0.1599	3.71000	1.78552e-05	100000.000	1.92448
foilsf02R00_09	250.0000	250.0000	0.378015	0.513873	0.0860	0.0860	1.60000	2.51760e-06	100000.000	1.34824
foilsf02R00_08	250.0000	170.9039	0.101538	0.297627	0.0860	0.1258	3.01000	1.13600e-05	100000.000	1.87400
foilsf02R00_06	128.7619	250.0000	0.107079	0.133612	0.1670	0.0860	3.26000	1.35289e-05	100000.000	1.90711
foilsf02R01_00	50.0000	250.0000	0.050000	0.131413	0.4300	0.0860	3.22000	1.64547e-05	100000.000	1.57453
foilsf02R01_01	95.4300	128.3509	0.050000	0.099604	0.2253	0.1675	3.85000	2.15691e-05	100000.000	1.69309
foilsf02R01_05	239.0271	221.0381	0.244586	0.367909	0.0899	0.0973	2.21000	4.72656e-06	100000.000	1.73734
foilsf02R01_03	50.0000	250.0000	0.050000	0.263556	0.4300	0.0860	2.83000	1.21426e-05	100000.000	1.61574
foilsf02R01_04	231.7080	211.3422	0.221954	0.335350	0.0928	0.1017	2.37000	5.88894e-06	100000.000	1.78111
foilsf02R01_06	249.6164	250.0000	0.335700	0.469512	0.0861	0.0860	1.75000	3.19218e-06	100000.000	1.43078
foilsf02R01_09	250.0000	250.0000	0.500878	1.000000	0.0860	0.0860	1.06000	1.51056e-06	100000.000	0.90894
foilsf02R01_02	223.2699	195.0132	0.187446	0.302145	0.0963	0.1102	2.63000	7.74807e-06	100000.000	1.85519
foilsf02R01_08	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.59100	7.98855e-07	100000.000	0.51111
foilsf02R01_07	197.7871	163.5922	0.105623	0.243013	0.1087	0.1314	3.25000	1.21588e-05	100000.000	2.03412
foilsf03R00_00	233.3795	198.7617	0.210197	0.331979	0.0921	0.1082	2.47000	6.88933e-06	100000.000	1.78107
foilsf03R00_01	226.4954	188.7874	0.159537	0.277469	0.0949	0.1139	2.78000	8.93439e-06	100000.000	1.88656
foilsf03R00_05	200.7941	163.8080	0.127350	0.248794	0.1071	0.1313	3.14000	1.13044e-05	100000.000	2.00956
foilsf03R00_02	210.7215	176.4397	0.136757	0.256266	0.1020	0.1219	3.01000	9.90580e-06	100000.000	2.01942
foilsf03R00_04	240.9997	221.8842	0.273305	0.414120	0.0892	0.0969	2.07000	4.24765e-06	100000.000	1.64524
foilsf03R00_08	169.3262	150.5135	0.054893	0.193893	0.1270	0.1428	3.60000	1.64117e-05	100000.000	1.95883
foilsf03R00_06	230.2186	200.2158	0.193149	0.310896	0.0934	0.1074	2.56000	7.33668e-06	100000.000	1.82633
foilsf03R00_09	250.0000	191.7091	1.000000	0.425414	0.0860	0.1121	0.80800	1.20148e-06	100000.000	0.68785
foilsf03R00_07	177.2923	142.0286	0.108516	0.227380	0.1213	0.1514	3.43000	1.45072e-05	100000.000	1.97928
foilsf03R00_03	242.2404	223.9210	0.292793	0.446235	0.0888	0.0960	1.97000	3.84729e-06	100000.000	1.58527
foilsf03R01_00	204.8392	181.1729	0.119401	0.253578	0.1050	0.1187	3.06000	1.13396e-05	100000.000	1.92604
foilsf03R01_02	250.0000	250.0000	0.653059	0.563396	0.0860	0.0860	1.09000	1.55436e-06	100000.000	0.93456
foilsf03R01_04	187.9854	160.9587	0.094565	0.222475	0.1144	0.1336	3.35000	1.35230e-05	100000.000	1.99770
foilsf03R01_01	209.7206	185.2403	0.140150	0.270097	0.1025	0.1161	2.93000	9.73720e-06	100000.000	1.95628
foilsf03R01_03	222.3987	220.7848	0.334043	0.550837	0.0967	0.0974	1.82000	3.60970e-06	100000.000	1.45903
foilsf03R01_06	248.3204	219.6773	0.243397	0.408803	0.0866	0.0979	2.15000	4.78990e-06	100000.000	1.67101
foilsf03R01_05	250.0000	250.0000	0.582660	0.558296	0.0860	0.0860	1.20000	1.80222e-06	100000.000	1.01978
foilsf03R01_07	220.8571	196.2223	0.168556	0.294108	0.0973	0.1096	2.72000	8.23140e-06	100000.000	1.89686
foilsf03R01_09	120.6208	114.6213	0.050000	0.135903	0.1782	0.1876	3.89000	2.03101e-05	100000.000	1.85899
foilsf03R01_08	230.5621	207.7613	0.221918	0.401137	0.0933	0.1035	2.31000	5.74212e-06	100000.000	1.73579
foilsf04R00_00	212.2457	190.9327	0.154316	0.258855	0.1013	0.1126	2.85000	9.43288e-06	100000.000	1.90671
foilsf04R00_03	250.0000	231.2413	0.320210	0.487672	0.0860	0.0930	1.82000	3.14429e-06	100000.000	1.50557
foilsf04R00_01	250.0000	250.0000	1.000000	0.479738	0.0860	0.0860	0.73500	1.07366e-06	100000.000	0.62763
foilsf04R00_02	141.6120	128.8663	0.108613	0.192423	0.1518	0.1668	3.68000	1.63580e-05	100000.000	2.04420
